# go_id	kind	status	crystal_refs	notes
list/list.go::method::Model.ShowPagination	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.ShowStatusBar	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.ShowTitle	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.StartSpinner	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.StatusBarItemName	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.StopSpinner	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.ToggleSpinner	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.Update	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.View	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.VisibleItems	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.Width	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::struct::Model	struct	in_progress		heuristically matched; task created; inferred_by=type_name
list/list.go::struct::Rank	struct	in_progress		heuristically matched; task created; inferred_by=type_name
list/list.go::type::FilterMatchesMsg	type	in_progress		heuristically matched; task created; inferred_by=type_name
list/list.go::type::FilterState	type	in_progress		heuristically matched; task created; inferred_by=type_name
list/list.go::type::Item	type	in_progress		heuristically matched; task created; inferred_by=type_name
list/list.go::type::ItemDelegate	type	in_progress		heuristically matched; task created; inferred_by=type_name
list/list_test.go::test::TestCustomStatusBarItemName	test	missing		remaining backlog
list/list_test.go::test::TestSetFilterState	test	missing		remaining backlog
list/list_test.go::test::TestSetFilterText	test	missing		remaining backlog
list/list_test.go::test::TestStatusBarItemName	test	missing		remaining backlog
list/list_test.go::test::TestStatusBarWithoutItems	test	missing		remaining backlog
list/style.go::func::DefaultStyles	func	in_progress		heuristically matched; task created; inferred_by=func_name
list/style.go::struct::Styles	struct	in_progress		heuristically matched; task created; inferred_by=type_name
paginator/paginator.go::const::Arabic	const	in_progress		heuristically matched; task created; inferred_by=const_name_variant
paginator/paginator.go::const::Dots	const	in_progress		heuristically matched; task created; inferred_by=const_name_variant
paginator/paginator.go::func::DefaultKeyMap	func	in_progress		heuristically matched; task created; inferred_by=func_name
paginator/paginator.go::func::New	func	in_progress		heuristically matched; task created; inferred_by=func_name
paginator/paginator.go::func::WithPerPage	func	in_progress		heuristically matched; task created; inferred_by=func_name
paginator/paginator.go::func::WithTotalPages	func	in_progress		heuristically matched; task created; inferred_by=func_name
paginator/paginator.go::method::Model.GetSliceBounds	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
paginator/paginator.go::method::Model.ItemsOnPage	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
paginator/paginator.go::method::Model.NextPage	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
paginator/paginator.go::method::Model.OnFirstPage	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
paginator/paginator.go::method::Model.OnLastPage	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
paginator/paginator.go::method::Model.PrevPage	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
paginator/paginator.go::method::Model.SetTotalPages	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
paginator/paginator.go::method::Model.Update	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
paginator/paginator.go::method::Model.View	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
paginator/paginator.go::struct::KeyMap	struct	in_progress		heuristically matched; task created; inferred_by=type_name
paginator/paginator.go::struct::Model	struct	in_progress		heuristically matched; task created; inferred_by=type_name
paginator/paginator.go::type::Option	type	missing		remaining backlog
paginator/paginator.go::type::Type	type	in_progress		heuristically matched; task created; inferred_by=type_name
paginator/paginator_test.go::test::TestItemsOnPage	test	missing		remaining backlog
paginator/paginator_test.go::test::TestNew	test	missing		remaining backlog
paginator/paginator_test.go::test::TestNextPage	test	missing		remaining backlog
paginator/paginator_test.go::test::TestOnFirstPage	test	missing		remaining backlog
paginator/paginator_test.go::test::TestOnLastPage	test	missing		remaining backlog
paginator/paginator_test.go::test::TestPrevPage	test	missing		remaining backlog
paginator/paginator_test.go::test::TestSetTotalPages	test	missing		remaining backlog
progress/progress.go::const::DefaultEmptyCharBlock	const	in_progress		heuristically matched; task created; inferred_by=const_name_variant
progress/progress.go::const::DefaultFullCharFullBlock	const	in_progress		heuristically matched; task created; inferred_by=const_name_variant
progress/progress.go::const::DefaultFullCharHalfBlock	const	in_progress		heuristically matched; task created; inferred_by=const_name_variant
progress/progress.go::func::New	func	in_progress		heuristically matched; task created; inferred_by=func_name
progress/progress.go::func::WithColorFunc	func	in_progress		heuristically matched; task created; inferred_by=func_name
progress/progress.go::func::WithColors	func	in_progress		heuristically matched; task created; inferred_by=func_name
progress/progress.go::func::WithDefaultBlend	func	in_progress		heuristically matched; task created; inferred_by=func_name
progress/progress.go::func::WithFillCharacters	func	in_progress		heuristically matched; task created; inferred_by=func_name
progress/progress.go::func::WithScaled	func	in_progress		heuristically matched; task created; inferred_by=func_name
progress/progress.go::func::WithSpringOptions	func	in_progress		heuristically matched; task created; inferred_by=func_name
progress/progress.go::func::WithWidth	func	in_progress		heuristically matched; task created; inferred_by=func_name
progress/progress.go::func::WithoutPercentage	func	in_progress		heuristically matched; task created; inferred_by=func_name
progress/progress.go::method::Model.DecrPercent	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
progress/progress.go::method::Model.IncrPercent	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
progress/progress.go::method::Model.Init	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
progress/progress.go::method::Model.IsAnimating	method	missing		remaining backlog
progress/progress.go::method::Model.Percent	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
progress/progress.go::method::Model.SetPercent	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
progress/progress.go::method::Model.SetSpringOptions	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
progress/progress.go::method::Model.SetWidth	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
progress/progress.go::method::Model.Update	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
progress/progress.go::method::Model.View	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
progress/progress.go::method::Model.ViewAs	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
progress/progress.go::method::Model.Width	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
progress/progress.go::struct::FrameMsg	struct	in_progress		heuristically matched; task created; inferred_by=type_name
progress/progress.go::struct::Model	struct	in_progress		heuristically matched; task created; inferred_by=type_name
progress/progress.go::type::ColorFunc	type	missing		remaining backlog
progress/progress.go::type::Option	type	missing		remaining backlog
progress/progress_test.go::test::TestBlend	test	missing		remaining backlog
spinner/spinner.go::func::New	func	in_progress		heuristically matched; task created; inferred_by=func_name
spinner/spinner.go::func::WithSpinner	func	in_progress		heuristically matched; task created; inferred_by=func_name
spinner/spinner.go::func::WithStyle	func	in_progress		heuristically matched; task created; inferred_by=func_name
spinner/spinner.go::method::Model.ID	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
spinner/spinner.go::method::Model.Tick	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
spinner/spinner.go::method::Model.Update	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
spinner/spinner.go::method::Model.View	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
spinner/spinner.go::struct::Model	struct	in_progress		heuristically matched; task created; inferred_by=type_name
